Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C3, C4, C7, C8, C9",CAP-TH_L4.2-W3.5-P2.54-D0.5,10,100n,C5632430
C2,CAP-TH_BD10.0-P5.00-D1.0-FD,1,1000uF / 35 V,C398835
C5,CAP-TH_BD5.0-P2.00-D0.8-FD,1,10u / 50 V,C503219
C6,CAP-TH_BD5.0-P2.00-D0.5-FD,1,22u 50V,C47344185
J1,CONN-TH_S2B-PH-K-S-LF-SN,1,Power2,C173752
J10,CONN-TH_6P-P2.00_S6B-PH-K-S-LF-SN,1,PLAY_CUE,C157920
J11,CONN-TH_S5B-PH-K-S-LF-SN,1,JOG,C157923
J12,CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN,1,TEMPO,C157926
J2,CONN-TH_S2B-PH-K-S-LF-SN,1,Power1,C173752
J3,CONN-TH_3P-P2.00_S3B-PH-K-S-LF-SN,1,UART_PI,C157929
J4,CONN-TH_3P-P2.00_S3B-PH-K-S-LF-SN,1,1BTN_A_TX,C157929
J5,CONN-TH_3P-P2.00_S3B-PH-K-S-LF-SN,1,1BTN_A_RX,C157929
J6,CONN-TH_3P-P2.00_S3B-PH-K-S-LF-SN,1,1BTN_B_RX,C157929
J7,CONN-TH_3P-P2.00_S3B-PH-K-S-LF-SN,1,1BTN_B_TX,C157929
J8,CONN-TH_7P-P2.00_S7B-PH-K-S-LF-SN,1,LOOP,C157917
J9,CONN-TH_S5B-PH-K-S-LF-SN,1,TRACK_ENC,C157923
"R1, R3",RES-TH_BD2.4-L6.3-P10.30-D0.6,2,1.8k,C172980
"R2, R4",RES-TH_BD2.2-L6.5-P10.50-D0.6,2,3.3k,C58610
R5,RES-TH_BD2.5-L6.5-P10.50-D0.6,1,10k,C57436
U1,LOLIN_S3_Mini,1,LOLIN_S3_Mini,
