Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C15, C19, C2, C21, C4, C5, C6, C7, C8, C9",C0402,13,100n,C307331
"C16, C17, C18",C0805,3,22uF 25V,C45783
C20,C0805,1,4.7uF ±10% 25V,C1779
C3,C0402,1,10nF ±10% 50V,C15195
C_LDO_IN1,C0603,1,1uF ±10% 50V,C15849
C_LDO_OUT1,C0805,1,2.2uF (225) ±20% 50V,C49217
D1,SMB_L4.6-W3.6-LS5.3-BI,1,P6SMB6.8CA,C78395
D2,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,B5819W_C8598,C8598
"D_PERI1, D_S1",SMA_L4.2-W2.6-LS5.0-RD_1,2,SS14,C2480
LED_3V3_PERI1,LED0805-R-RD,1,Yellow,C2296
LED_3V3_S1,LED0805-R-RD,1,Green,C2297
LED_5V1,LED0805-RD,1,Red,C84256
Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
"R1, R10, R11, R12, R13, R14, R15, R16, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R7, R8, R9",R0402,21,1KΩ ±1%,C11702
R17,R0402,1,10KΩ ±1%,C25744
"R3, R5",R0603,2,1.8KΩ ±1%,C4177
"R30, R4, R6",R0402,3,3.3KΩ ±1%,C25890
R31,R0603,1,100KΩ ±1%,C25803
R32,R0402,1,47KΩ ±1%,C25792
R33,R0402,1,1Ω ±1%,C185446
R34,R0402,1,22KΩ ±1%,C25768
R35,R0402,1,470Ω ±1%,C25117
R36,R0402,1,1.5KΩ ±1%,C25867
TP1,TestPoint_Pad_D2.5mm,1,VBUS_S3,
TP2,TestPoint_Pad_D2.5mm,1,VIN_5V,
TP3,TestPoint_Pad_D2.5mm,1,LDO_OUT,
"TVS1, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,9,SRV05-4,C558418
U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-TL,1,SPX3819M5-L/TR,C9056
