Designator,Mid X,Mid Y,Rotation,Layer
C1,65.3,-83.75,0.0,top
C10,26.9,-83.3,0.0,top
C13,97.0,-40.6,0.0,top
C15,77.5,-29.2,90.0,top
C16,45.0625,-56.65,90.0,top
C17,47.7125,-56.65,90.0,top
C18,42.4125,-56.65,90.0,top
C19,41.5125,-52.95,270.0,top
C2,71.9,-77.4,180.0,top
C20,93.0,-52.6,90.0,top
C21,94.3,-24.6,0.0,top
C3,66.7,-77.3,180.0,top
C4,69.6,-77.4,0.0,top
C5,43.3,-83.2,0.0,top
C6,81.9,-77.6,180.0,top
C7,103.0,-81.0,180.0,top
C8,83.8,-84.2,0.0,top
C9,96.1,-80.8,0.0,top
C_LDO_IN1,82.6,-26.0,270.0,top
C_LDO_OUT1,83.5,-34.1,180.0,top
D1,98.2,-26.2,270.0,top
D2,73.0125,-52.35,0.0,top
D_PERI1,91.4,-46.8,90.0,top
D_S1,87.2,-46.7,90.0,top
FID1,78.5,-23.0,0.0,top
FID2,104.9,-60.8,0.0,top
FID3,61.7,-77.9,0.0,top
H1,105.0,-24.2,0.0,top
H2,40.0,-24.2,0.0,top
H3,105.0,-68.2,0.0,top
H4,40.0,-68.2,0.0,top
JP2,103.1,-52.45,0.0,top
LED_3V3_PERI1,90.4,-58.2,90.0,top
LED_3V3_S1,87.6,-58.2,90.0,top
LED_5V1,86.1,-25.0,270.0,top
Q1,93.3,-27.2,0.0,top
R1,31.6,-31.5,180.0,top
R10,70.1,-79.2,270.0,top
R11,45.4,-82.7,270.0,top
R12,71.5,-79.2,270.0,top
R13,51.5,-80.1,270.0,top
R14,49.5,-79.2,270.0,top
R15,54.7,-79.0,270.0,top
R16,57.5,-82.7,270.0,top
R17,81.1,-79.1,180.0,top
R18,31.5,-78.7,270.0,top
R19,29.2,-82.5,270.0,top
R2,31.1,-59.9,180.0,top
R20,81.6,-81.1,270.0,top
R21,36.4,-82.4,270.0,top
R22,33.9,-78.7,270.0,top
R23,103.4,-82.9,270.0,top
R24,84.4,-79.1,270.0,top
R25,86.8,-79.1,270.0,top
R26,96.6,-82.9,270.0,top
R3,27.8,-39.3,180.0,top
R30,88.6,-27.3,270.0,top
R31,91.3,-24.6,0.0,top
R32,79.9,-33.8,0.0,top
R33,84.6,-36.4,90.0,top
R34,79.5,-35.7,90.0,top
R35,87.6,-54.8,90.0,top
R36,90.3,-54.6,90.0,top
R4,31.6,-38.3,180.0,top
R5,27.7,-50.9,180.0,top
R6,31.2,-53.2,180.0,top
R7,27.1,-71.8,270.0,top
R8,30.6,-74.6,270.0,top
R9,66.2,-79.3,270.0,top
TP1,71.25,-55.2,0.0,top
TP2,97.85,-51.65,0.0,top
TP3,82.2,-39.8,0.0,top
TVS1,32.1,-34.8,180.0,top
TVS2,31.5225,-56.4,0.0,top
TVS3,28.0,-75.0,180.0,top
TVS4,70.3,-82.4,270.0,top
TVS5,54.6,-82.2,270.0,top
TVS6,48.4,-82.3,90.0,top
TVS7,85.6,-82.0225,270.0,top
TVS8,100.1225,-82.4,270.0,top
TVS9,32.6,-81.9775,90.0,top
U2,80.4,-30.5,90.0,top
